,index,Buy on,Sell on,Buy at,Sell at,%
0,0,2019-04-30,2019-09-24,5350.7265625,8620.56640625,161.11020261559105
1,1,2020-01-20,2020-03-14,8657.642578125,5200.3662109375,60.066769493084706
2,2,2020-05-07,2021-05-21,9951.5185546875,37304.69140625,374.86431041901875
3,3,2021-08-13,2021-12-12,47793.3203125,50098.3359375,104.82288238173973
4,4,2022-04-01,2022-04-22,46281.64453125,39740.3203125,85.8662666700765
5,5,2023-01-19,2023-06-15,21086.79296875,25576.39453125,121.29105914376575
6,6,2023-06-24,2023-08-22,30548.6953125,26031.65625,85.21364327905779
7,7,2023-10-23,2024-06-25,33086.234375,61804.640625,186.79865446307684
8,8,2024-07-31,2024-08-06,64619.25,56034.31640625,86.71458800009285
