Date,Open,High,Low,Buy_Price,Adj Close,Volume,MA20,MA120,MA20_above_MA120,MA20_cross_MA120,previous_MA20_above_MA120,Open,High,Low,Sell_Price,Adj Close,Volume,MA20,MA120,MA20_above_MA120,MA20_cross_MA120,previous_MA20_above_MA120
2019-04-30,5247.72607421875,5363.25732421875,5224.18994140625,5350.7265625,5350.7265625,13878964574.0,5265.276220703125,4144.115268961588,True,True,False,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,9729.3212890625,9804.3173828125,8370.8017578125,8620.56640625,8620.56640625,25002886689.0,10179.8748046875,10186.340083821615,False,True,True
2020-01-20,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,8657.642578125,26422375678.0,8118.971240234375,8066.770597330729,True,True,False,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,5573.07763671875,5625.2265625,5125.0693359375,5200.3662109375,5200.3662109375,36154506008.0,8177.153051757812,8254.86298828125,False,True,True
2020-05-07,9261.8955078125,9992.6640625,9138.322265625,9951.5185546875,9951.5185546875,61112700562.0,8125.3048095703125,8105.130891927083,True,True,False,,,,,,,,,,,
2021-05-21,,,,,,,,,,,,40596.94921875,42172.171875,33616.453125,37304.69140625,37304.69140625,82051616861.0,50572.1296875,50957.49021809896,False,True,True
2021-08-13,44439.69140625,47831.9765625,44282.41796875,47793.3203125,47793.3203125,31744259539.0,41742.185546875,41362.04814453125,True,True,False,,,,,,,,,,,
2021-12-12,,,,,,,,,,,,49354.85546875,50724.8671875,48725.8515625,50098.3359375,50098.3359375,21939223599.0,53180.4345703125,53459.56578776042,False,True,True
2022-04-01,45554.1640625,46616.2421875,44403.140625,46281.64453125,46281.64453125,38162644287.0,43181.38046875,43138.42679036458,True,True,False,,,,,,,,,,,
2022-04-22,,,,,,,,,,,,40525.86328125,40777.7578125,39315.41796875,39740.3203125,39740.3203125,28011716745.0,41901.877734375,41977.38336588542,False,True,True
2023-01-19,20686.74609375,21163.01171875,20685.380859375,21086.79296875,21086.79296875,21152848261.0,18427.9900390625,18232.133170572917,True,True,False,,,,,,,,,,,
2023-06-15,,,,,,,,,,,,25121.673828125,25735.30859375,24797.16796875,25576.39453125,25576.39453125,15837384409.0,26626.64140625,26690.878287760417,False,True,True
2023-06-24,30708.73828125,30804.1484375,30290.146484375,30548.6953125,30548.6953125,12147822496.0,27109.189453125,27005.70037434896,True,True,False,,,,,,,,,,,
2023-08-22,,,,,,,,,,,,26130.748046875,26135.5078125,25520.728515625,26031.65625,26031.65625,14503820706.0,28340.33837890625,28473.76787109375,False,True,True
2023-10-23,30140.685546875,34370.4375,30097.828125,33086.234375,33086.234375,38363572311.0,28260.96201171875,28204.451139322915,True,True,False,,,,,,,,,,,
2024-06-25,,,,,,,,,,,,60266.28125,62258.26171875,60239.75,61804.640625,61804.640625,29201215431.0,66238.408984375,66249.77916666666,False,True,True
2024-07-31,66201.2734375,66810.2109375,64532.046875,64619.25,64619.25,31292785994.0,65214.5712890625,64904.19091796875,True,True,False,,,,,,,,,,,
2024-08-06,,,,,,,,,,,,53991.34765625,57059.91796875,53973.2734375,56034.31640625,56034.31640625,49300484106.0,64394.0765625,64432.34166666667,False,True,True
